24.1093,8.1254,11.7298,530.2640,0.1440,2.5340,18.0831,0.4638
23.7377,8.1528,11.9487,527.3750,0.1426,2.4850,18.3469,0.4574
22.1628,7.8456,9.0137,529.4700,0.1444,2.4960,19.9637,0.4490
22.1069,8.4009,10.8346,527.5460,0.1504,2.5580,21.4530,0.4019
21.9891,8.2942,9.5913,528.6240,0.1474,2.5180,21.5435,0.3511
21.8012,7.9585,8.3505,533.1210,0.1436,2.5550,20.6908,0.3624
22.1310,8.5559,12.5045,527.0030,0.1423,2.4610,21.2899,0.2529
22.2919,8.7714,14.5579,522.4190,0.1412,2.3730,22.7482,0.1976
22.0028,8.5707,12.0068,529.1700,0.1342,2.3110,23.5052,0.2037
21.8456,8.3914,10.6544,533.3490,0.1308,2.3050,21.8196,0.1883
21.5480,7.9845,8.2392,537.3750,0.1292,2.3160,21.3988,0.2376
21.5830,7.8919,8.1701,538.4980,0.1326,2.3010,21.7880,0.2402
22.0132,8.3392,10.9252,532.6530,0.1274,2.2600,22.3691,0.1948
22.0445,8.4473,11.6963,531.8720,0.1265,2.2360,21.0128,0.2034
21.8967,8.1799,10.1636,538.3500,0.1230,2.2240,22.9519,0.1733
21.7173,7.8696,8.3133,542.2270,0.1212,2.1780,22.7651,0.2022
21.5756,7.6769,7.1663,543.7550,0.1204,2.2530,22.7989,0.2113
21.6794,7.7813,8.2106,541.9820,0.1169,2.1540,21.7098,0.1865
23.1680,8.5126,12.7800,534.9360,0.1145,2.1130,19.7041,0.1232
24.6968,8.9653,18.4482,527.1770,0.1063,1.9890,20.7675,0.0771
23.7532,8.7963,14.3603,532.0870,0.1039,1.9800,21.0071,0.0698
23.5470,8.6404,12.1260,538.0830,0.0993,1.8760,20.0476,0.0600
23.1033,8.4445,10.5183,540.2570,0.0926,1.8780,19.6238,0.0529
22.9305,8.3669,10.5181,541.2610,0.0919,1.8560,18.6688,0.0536
23.5439,8.6409,13.5951,537.1870,0.0914,1.8390,19.2986,0.0494
23.8024,8.8537,15.8916,532.8530,0.0899,1.7940,20.1793,0.0508
23.4265,8.6675,12.5283,538.3600,0.0841,1.7970,19.9451,0.0616
22.9987,8.3175,9.6349,544.5730,0.0831,1.8160,18.9324,0.0787
22.6615,7.9989,7.8060,548.6270,0.0852,1.8190,18.0954,0.0922
22.6744,7.7594,6.9041,551.1240,0.0883,1.8440,18.1437,0.1197
23.2754,7.9679,8.6294,549.7290,0.0882,1.8250,17.8286,0.0977
23.7562,8.3055,11.0121,546.6980,0.0882,1.8000,17.2937,0.0783
